intent,category,question,answer
complaint_escalation,General,This service was very poor je?,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
goodbye,General,"Nimeshukuru, kwaheri",You're welcome! Karibu tena — feel free to message us anytime. 😊
delivery_time,Delivery,Utaleta lini order yangu?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
product_care_instructions,Products,"Quick question, How do I take care of this item je?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
payment_confirmation,Payment,"Sasa, Umepokea pesa ya order yangu basi?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
minimum_order,Orders,"Sasa, Kuna minimum order?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
mpesa_payment,Payment,"Poa, What's your till number asante?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
installment_payment,Payments,"Samahani, Can I pay in installments naomba kujua?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
mpesa_payment,Payment,"Hello, How do I send payment for my order tafadhali?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
minimum_order,Orders,"Naomba kuuliza, Naeza order kitu kimoja tu nisaidie?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
legitimacy_scam_concern,General,Do you have reviews from other customers?,"Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
wholesale_reseller,Products,"Msee, Do you sell wholesale je?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
discount_bulk,Promotions,"Sasa, Do you have discounts naomba kujua?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
wholesale_reseller,Products,"Hey, Naeza pata bei ya wholesale naomba msaada?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
goodbye,General,"That's all, goodbye",You're welcome! Karibu tena — feel free to message us anytime. 😊
gift_wrapping,Products,Can you gift wrap my order sasa?,Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
price_negotiation,Products,"Msee, Punguza kidogo bei?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
international_shipping,Delivery,"Hey, Do you ship outside Kenya?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
courier_tracking_number,Delivery,"Excuse me, How do I track my parcel with the courier naomba kujua?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
return_policy,Returns,What if the item doesn't fit?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
combine_orders,Orders,"I made two separate orders, can they be delivered together?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
price_negotiation,Products,"Naomba kuuliza, Bei ya mwisho ni ngapi je?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
discount_bulk,Promotions,"Hey, Is there a discount code sasa?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
cancel_order,Orders,"Poa, Please cancel my purchase basi?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
discount_bulk,Promotions,Is there a discount code?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
legitimacy_scam_concern,General,"Niaje, Do you have reviews from other customers?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
goodbye,General,Ok thanks,You're welcome! Karibu tena — feel free to message us anytime. 😊
installment_payment,Payments,"Sasa, Naeza lipa pole pole nisaidie?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
gift_wrapping,Products,Can you gift wrap my order?,Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
location_directions,General,Where is your shop located?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
refund_status,Returns,"Hello, Umeprocess refund yangu naomba msaada?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
combine_orders,Orders,"Habari, I made two separate orders, can they be delivered together je?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
wrong_item,Returns,"Hi, Item niliyopokea si sahihi je?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
delivery_cost,Delivery,"Hi, Unatoza delivery ngapi kwa CBD?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
location_directions,General,Send me your location please,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
product_care_instructions,Products,"Hi, Can it be machine washed asante?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
damaged_in_transit,Returns,Bidhaa imekuja ikiwa mbovu,We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
product_availability,Products,"Excuse me, Is this available in size 40 je?",Let us check current stock for you — please share the product name or picture and the size/color you want.
courier_tracking_number,Delivery,"Boss, How do I track my parcel with the courier naomba kujua?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
restock_notification,Products,"Karibu, mimi ni customer, Can you tell me when it's restocked sasa?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
delivery_cost,Delivery,"Habari, Do you charge for delivery within town?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
receipt_request,Payments,"Hi, Do you issue invoices asante?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
opening_hours,General,Do you work on public holidays?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
social_media_catalog,General,Send me your product catalog,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
delivery_time,Delivery,"Naomba kuuliza, Ninapata order lini nikiorder leo sasa?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
price_negotiation,Products,Bei ya mwisho ni ngapi sasa?,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
restock_notification,Products,"Habari, When will this be back in stock please?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
delivery_cost,Delivery,How much extra for delivery outside Nairobi?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
complaint_escalation,General,"Excuse me, Naomba kuongea na manager kuhusu tatizo tafadhali?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
greeting,General,Sasa,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
international_shipping,Delivery,Can you deliver to Uganda nisaidie?,At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
opening_hours,General,What are your working hours basi?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
social_media_catalog,General,"Hi, Naomba muniangushie catalog nisaidie?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
goodbye,General,Thanks for the help naomba msaada?,You're welcome! Karibu tena — feel free to message us anytime. 😊
greeting,General,Hello,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
complaint_escalation,General,How do I raise a complaint please?,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
goodbye,General,Thanks for the help please?,You're welcome! Karibu tena — feel free to message us anytime. 😊
wholesale_reseller,Products,"Hey, Nataka kununua mengi kwa bei nafuu niuze je?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
greeting,General,"Niaje, Habari nisaidie?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
complaint_escalation,General,"Karibu, mimi ni customer, I'm not happy with how this was handled please?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
wholesale_reseller,Products,Do you supply shops or only individuals?,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
price_negotiation,Products,"Hi, Can we negotiate the price asante?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
goodbye,General,"Habari, Thanks, bye sasa?",You're welcome! Karibu tena — feel free to message us anytime. 😊
price_negotiation,Products,"Hey, Punguza kidogo bei?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
wrong_item,Returns,Umenitumia size mbaya,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
international_shipping,Delivery,"Hello, Do you ship internationally nisaidie?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
legitimacy_scam_concern,General,"Hey, Mko registered kihalali je?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
product_availability,Products,Is the red one still available?,Let us check current stock for you — please share the product name or picture and the size/color you want.
minimum_order,Orders,"Naomba kuuliza, Do I have to buy a certain quantity basi?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
wholesale_reseller,Products,Bei ya jumla ni ngapi ukichukua zaidi ya 20?,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
price_negotiation,Products,"Karibu, mimi ni customer, Can you reduce the price a bit basi?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
opening_hours,General,"Sasa, What time are you open?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
contact_human,General,"Quick question, I need to speak to customer care directly asante?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
payment_confirmation,Payment,"Hey, Can you confirm you received my Mpesa je?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
legitimacy_scam_concern,General,"Excuse me, Do you have reviews from other customers?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
combine_orders,Orders,"Sasa, Can I combine two orders into one delivery please?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
discount_bulk,Promotions,"Hi, Do you have discounts sasa?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
receipt_request,Payments,"Msee, I need proof of purchase please?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
restock_notification,Products,"Habari, Item hii itapatikana lini naomba kujua?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
refund_status,Returns,Umeprocess refund yangu?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
greeting,General,"Hi, poa?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
wrong_item,Returns,Item niliyopokea si sahihi naomba kujua?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
mpesa_payment,Payment,"Niaje, Do you accept M-Pesa only?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
gift_wrapping,Products,"Excuse me, Do you offer gift packaging sasa?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
order_status,Orders,"Naomba kuuliza, Umetuma order yangu?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
receipt_request,Payments,"Samahani, Nataka invoice kwa order?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
legitimacy_scam_concern,General,"Excuse me, Ni kweli hii ni duka halisi je?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
refund_status,Returns,"Excuse me, I'm still waiting for my refund sasa?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
order_status,Orders,Order yangu iko wapi?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
combine_orders,Orders,"I made two separate orders, can they be delivered together naomba kujua?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
damaged_in_transit,Returns,"It arrived broken, what do I do?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
goodbye,General,Thanks for the help,You're welcome! Karibu tena — feel free to message us anytime. 😊
legitimacy_scam_concern,General,"Hello, How do I know this isn't a scam je?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
payment_confirmation,Payment,"Msee, Umepokea pesa ya order yangu please?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
damaged_in_transit,Returns,Bidhaa imekuja ikiwa mbovu naomba msaada?,We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
installment_payment,Payments,Do you have a layby option basi?,We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
receipt_request,Payments,"Poa, Nataka invoice kwa order nisaidie?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
social_media_catalog,General,Where can I see your full catalog naomba kujua?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
wrong_item,Returns,"Niaje, The product doesn't match the photo nisaidie?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
contact_human,General,"Niaje, Naomba nizungumze na mtu wa kweli sasa?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
discount_bulk,Promotions,"Boss, Is there a discount code naomba kujua?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
location_directions,General,"Excuse me, Send me your location please nisaidie?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
refund_status,Returns,Pesa ya refund itaenda lini kwa M-Pesa?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
opening_hours,General,Mko open Jumapili?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
mpesa_payment,Payment,Send me the paybill number?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
delivery_time,Delivery,Utafika lini na order?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
delivery_cost,Delivery,"Msee, What's the shipping fee to Mombasa?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
goodbye,General,"Niaje, Asante, kwaheri?",You're welcome! Karibu tena — feel free to message us anytime. 😊
refund_status,Returns,"Naomba kuuliza, Pesa ya refund itaenda lini kwa M-Pesa asante?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
location_directions,General,"Samahani, Duka lenu liko wapi?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
return_policy,Returns,"Msee, Do you accept returns asante?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
mpesa_payment,Payment,Till number ni gani?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
combine_orders,Orders,"Excuse me, Naeza unganisha order mbili ziende pamoja naomba kujua?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
legitimacy_scam_concern,General,"Niaje, Is this shop legit naomba msaada?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
receipt_request,Payments,"Hey, Can I get a receipt for my purchase sasa?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
goodbye,General,Ok thanks please?,You're welcome! Karibu tena — feel free to message us anytime. 😊
refund_status,Returns,Refund yangu itafika lini?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
combine_orders,Orders,"I made two separate orders, can they be delivered together basi?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
mpesa_payment,Payment,Can I pay on delivery?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
opening_hours,General,Is the shop open today sasa?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
mpesa_payment,Payment,"Karibu, mimi ni customer, Send me the paybill number asante?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
discount_bulk,Promotions,Can I get a discount for bulk order?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
location_directions,General,"Karibu, mimi ni customer, Naomba pin ya location yenu tafadhali?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
mpesa_payment,Payment,"Niaje, Naomba number ya kutuma pesa?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
contact_human,General,"Naomba kuuliza, Naomba msaada wa mtu, sio bot je?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
gift_wrapping,Products,"Sasa, Naomba m-wrap kama gift asante?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
courier_tracking_number,Delivery,"Hi, Can you give me a tracking number naomba msaada?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
international_shipping,Delivery,Mnatuma nje ya Kenya asante?,At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
wrong_item,Returns,I received the wrong item,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
opening_hours,General,"Hi, Do you work on public holidays?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
wrong_item,Returns,"Hello, The product doesn't match the photo sasa?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
legitimacy_scam_concern,General,How do I know this isn't a scam?,"Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
legitimacy_scam_concern,General,Is this shop legit?,"Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
social_media_catalog,General,"Msee, Naomba muniangushie catalog asante?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
contact_human,General,Naomba nizungumze na mtu wa kweli,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
restock_notification,Products,"Quick question, When will this be back in stock?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
damaged_in_transit,Returns,My item arrived broken please?,We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
location_directions,General,"Hi, Mko karibu na wapi sasa?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
return_policy,Returns,Naeza change size ya item asante?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
return_policy,Returns,Can I exchange for a different size?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
location_directions,General,Where is your shop located tafadhali?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
payment_confirmation,Payment,"Nimetuma pesa, umepokea?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
refund_status,Returns,"Msee, When will I get my refund naomba msaada?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
wrong_item,Returns,I got a damaged item je?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
product_availability,Products,Hii bidhaa bado inapatikana?,Let us check current stock for you — please share the product name or picture and the size/color you want.
combine_orders,Orders,"Niaje, Naeza unganisha order mbili ziende pamoja?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
delivery_cost,Delivery,"Msee, Unatoza delivery ngapi kwa CBD please?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
location_directions,General,Naomba pin ya location yenu naomba msaada?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
minimum_order,Orders,"Hey, Kuna minimum order je?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
order_status,Orders,"Habari, Umeshtuma bidhaa zangu je?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
goodbye,General,Thanks for the help je?,You're welcome! Karibu tena — feel free to message us anytime. 😊
wholesale_reseller,Products,"Poa, Nataka kununua mengi kwa bei nafuu niuze naomba msaada?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
delivery_cost,Delivery,"Boss, What's the shipping fee to Mombasa asante?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
contact_human,General,Can someone call me back?,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
restock_notification,Products,When will this be back in stock asante?,We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
legitimacy_scam_concern,General,"Naomba kuuliza, Ni kweli hii ni duka halisi je?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
delivery_cost,Delivery,How much is delivery naomba kujua?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
damaged_in_transit,Returns,"Excuse me, It arrived broken, what do I do please?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
wholesale_reseller,Products,"Niaje, I want to buy in bulk to resell?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
product_availability,Products,Bidhaa hii bado ipo?,Let us check current stock for you — please share the product name or picture and the size/color you want.
goodbye,General,"Quick question, Bye naomba msaada?",You're welcome! Karibu tena — feel free to message us anytime. 😊
order_status,Orders,"Sasa, Umetuma order yangu asante?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
minimum_order,Orders,Is there a minimum order amount?,"No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
damaged_in_transit,Returns,"Poa, Bidhaa imekuja ikiwa mbovu naomba kujua?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
order_status,Orders,"Excuse me, Order yangu ipo stage gani basi?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
receipt_request,Payments,Do you issue invoices?,Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
discount_bulk,Promotions,Do you do wholesale prices?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
greeting,General,"Sasa, Hey there nisaidie?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
product_availability,Products,"Excuse me, Bidhaa hii bado ipo?",Let us check current stock for you — please share the product name or picture and the size/color you want.
combine_orders,Orders,"Excuse me, I made two separate orders, can they be delivered together asante?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
complaint_escalation,General,"Hey, I'm not happy with how this was handled tafadhali?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
payment_confirmation,Payment,"Poa, Payment yangu imeenda sawa?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
product_care_instructions,Products,"Hi, Naosha hii item aje?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
wrong_item,Returns,The product doesn't match the photo,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
product_availability,Products,"Habari, Mnayo hii kwa size medium please?",Let us check current stock for you — please share the product name or picture and the size/color you want.
product_care_instructions,Products,"Excuse me, Utunzaji wa hii bidhaa ni aje sasa?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
goodbye,General,"Boss, That's all, goodbye sasa?",You're welcome! Karibu tena — feel free to message us anytime. 😊
product_care_instructions,Products,"Sasa, Utunzaji wa hii bidhaa ni aje asante?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
complaint_escalation,General,"Naomba kuuliza, Nataka kulalamika kuhusu huduma naomba msaada?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
gift_wrapping,Products,"Boss, Do you offer gift packaging naomba msaada?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
product_care_instructions,Products,"Samahani, How do I take care of this item basi?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
discount_bulk,Promotions,"Excuse me, Is there a discount code je?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
product_availability,Products,"Excuse me, Do you have more colors je?",Let us check current stock for you — please share the product name or picture and the size/color you want.
product_availability,Products,"Niaje, Hii bidhaa bado inapatikana naomba msaada?",Let us check current stock for you — please share the product name or picture and the size/color you want.
product_availability,Products,Do you have more colors?,Let us check current stock for you — please share the product name or picture and the size/color you want.
discount_bulk,Promotions,"Hey, Nikinunua vitu vitatu nafanya deal gani?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
order_status,Orders,"Hello, Can you track my order for me?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
product_availability,Products,"Poa, Mko na hii design kwa size gani tafadhali?",Let us check current stock for you — please share the product name or picture and the size/color you want.
location_directions,General,Mko karibu na wapi?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
contact_human,General,I need to speak to customer care directly,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
contact_human,General,"Poa, Naeza ongea na mtu naomba msaada?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
delivery_cost,Delivery,"Poa, How much extra for delivery outside Nairobi please?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
minimum_order,Orders,Can I order just one item?,"No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
social_media_catalog,General,"Naomba kuuliza, Mko na Instagram au TikTok naomba msaada?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
